"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"5",0.035,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,4,326,4,12,27000,0,901637,1995,1.165,1.2
"8",0.05,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,138,4,10,26000,2,900118,1995,0.65,0.7
"19",0.06,"E MISSISSIPPI AVE","E","4  Minor Arterial","1    Asphalt",48,4,0,4,10,7800,4,902080,1995,0.12,0.18
"30",0.04,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,184,6,10,41000,1,202234,1995,1.1,1.14
"33",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,324,4,10,32000,3,202398,1995,0.62,0.7
"36",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,435,4,10,30000,1,202146,1995,2.6,2.62
"43",0.03,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,151,4,10,23000,0,202052,1995,0.34,0.37
"48",0.05,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,369,4,10,21000,1,202413,1995,1.95,2
"69",0.05,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",33,1,188,8,10,45000,0,202077,1995,3.43,3.48
"76",0.02,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,236,4,12,20000,3,901631,1995,0.7,0.72
"82",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,259,8,12,21000,4,107767,1995,0.96,1
"84",0.035,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,145,4,10,30000,3,202096,1995,2.7,2.735
"85",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,278,4,10,29000,0,202147,1995,0.73,0.79
"90",0.05,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,204,5,10,29000,0,202073,1995,0.55,0.6
"92",0.026,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,237,2,10,19000,2,202200,1995,3.2,3.226
"93",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,164,4,10,26000,1,900085,1995,0.4,0.41
"101",0.03,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,123,4,11,97000,4,106560,1995,0.8,0.83
"107",0.01,"S STEELE ST","S","3  Principal Arterial - Other","1    Asphalt",84,4,305,5,10,32000,1,202429,1995,0.1,0.11
"125",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,226,3,10,31000,3,202028,1995,0.2,0.21
"127",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,118,4,10,33000,3,107746,1995,0.7,0.75
"128",0.08,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,124,8,12,31000,1,107770,1995,0.9,0.98
"132",0.06,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",44,4,0,4,10,12000,1,201916,1995,3.08,3.14
