"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"1",0.05,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,26000,2,0.65,0.7,2
"2",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,32000,3,0.62,0.7,5
"3",0.05,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,4,10,21000,1,1.95,2,8
"4",0.02,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.7,0.72,9
"5",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,8,12,21000,4,0.96,1,10
"6",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,29000,0,0.73,0.79,12
"7",0.05,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,29000,0,0.55,0.6,13
"8",0.06,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",44,4,4,10,12000,1,3.08,3.14,21
"9",0.024,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,19000,2,1.976,2,23
"10",0.1,"N HAVANA WAY","N","3  Principal Arterial - Other","1    Asphalt",20,4,2,10,18000,0,0.8,0.9,24
"11",0.05,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",96,4,6,12,52000,0,0.7,0.75,31
"12",0.05,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other","1    Asphalt",20,4,6,10,66000,3,0.1,0.15,42
"13",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,25000,3,2.43,2.48,49
"14",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,29000,0,0.73,0.8,52
"15",0.1,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,5,10,25000,3,0.2,0.3,66
"16",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,6,10,40000,1,0.1,0.11,70
"17",0.04,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,29000,0,2.3,2.34,71
"18",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,37000,1,1.23,1.3,72
"19",0.1,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,22000,4,1.9,2,76
