"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH1"
"1",0.06,"20TH ST","NW","3  Principal Arterial - Other",52,1,5,10,26000,1,0.72
"2",0.08,"W 11TH AVE","W","5  Major Collector",48,4,3,10,9200,3,0.16
"3",0.07,"N LOGAN ST","N","4  Minor Arterial",32,1,2,10,6000,3,0.53
"4",0.05,"E JEWELL AVE","E","5  Major Collector",36,4,2,10,3400,3,0.75
"5",0.07,"W 14TH AVE","W","4  Minor Arterial",48,4,3,10,6600,1,0.33
"6",0.02,"S FRANKLIN ST","S","5  Major Collector",20,4,2,10,3000,3,0.4
"7",0.02,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,30000,1,1.32
"8",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,10,30000,1,2.7
"9",0.06,"W EXPOSITION AVE","W","5  Major Collector",36,4,2,15,2300,3,0.62
"10",0.07,"E 17TH AVE","E","5  Major Collector",54,4,3,10,16000,3,1
"11",0.08,"E BUCHTEL BLVD","SE","5  Major Collector",40,4,2,11,8700,3,0.73
"12",0.08,"N TEJON ST","N","5  Major Collector",44,2.5,2,10,4800,3,1.05
"13",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other",44,2.5,4,10,27000,1,1.6
"14",0.1,"BLAKE ST","NE","4  Minor Arterial",44,4,2,12,1100,0,0.1
"15",0.15,"N CROWN BLVD","NE","5  Major Collector",44,4,2,10,2600,3,0.495
"16",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",62,4,4,10,46000,3,3.7
"17",0.05,"W YALE AVE","W","4  Minor Arterial",36,1,2,10,9100,3,1.25
"18",0.04,"S LOWELL BLVD","S","5  Major Collector",48,1,2,10,2800,3,2.63
"19",0.05,"S XENIA ST","N","5  Major Collector",24,4,2,10,1600,3,1.2
"20",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,2.21
"22",0.03,"E 18TH AVE","E","4  Minor Arterial",40,2.5,3,12,11000,1,0.41
"23",0.07,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,25000,3,0.47
"24",0.12,"N CORONA ST","N","4  Minor Arterial",32,2.5,2,10,4300,3,0.745
"25",0.07,"PARK AVE W","NW","3  Principal Arterial - Other",48,2.5,4,10,10000,1,0.89
"26",0.05,"E 46TH AVE","E","5  Major Collector",60,4,4,10,5100,3,0.695
"27",0.1,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,12,25000,0,2.6
"28",0.01,"W 48TH AVE","W","5  Major Collector",20,4,2,10,8900,2,0.1
"29",0.06,"E DARTMOUTH AVE","E","5  Major Collector",36,4,2,10,8500,3,0.89
"30",0.02,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,32000,1,0.27
"31",0.04,"E 8TH AVE","E","3  Principal Arterial - Other",40,4,2,10,17000,3,0.1
"32",0.07,"N BROADWAY","N","3  Principal Arterial - Other",72,4,5,10,28000,1,3.1
"33",0.07,"E 13TH AVE","E","4  Minor Arterial",36,4,2,10,10000,3,1.46
"34",0.06,"W 1ST AVE","W","5  Major Collector",48,4,2,11,6200,3,0.51
"35",0.01,"AURARIA PKWY","N","3  Principal Arterial - Other",20,4,2,10,34000,0,0.78
