"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"1",0.06,"20TH ST","NW","3  Principal Arterial - Other","1    Asphalt",52,1,5,10,26000,1,0.66,0.72,1017
"2",0.08,"W 11TH AVE","W","5  Major Collector","1    Asphalt",48,4,3,10,9200,3,0.08,0.16,4775
"3",0.07,"N LOGAN ST","N","4  Minor Arterial","1    Asphalt",32,1,2,10,6000,3,0.46,0.53,2177
"4",0.05,"E JEWELL AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,3400,3,0.7,0.75,5026
"5",0.07,"W 14TH AVE","W","4  Minor Arterial","1    Asphalt",48,4,3,10,6600,1,0.26,0.33,1533
"6",0.02,"S FRANKLIN ST","S","5  Major Collector","1    Asphalt",20,4,2,10,3000,3,0.38,0.4,4567
"7",0.02,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,30000,1,1.3,1.32,2347
"8",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,30000,1,2.68,2.7,270
"9",0.06,"W EXPOSITION AVE","W","5  Major Collector","1    Asphalt",36,4,2,15,2300,3,0.56,0.62,4050
"10",0.07,"E 17TH AVE","E","5  Major Collector","1    Asphalt",54,4,3,10,16000,3,0.93,1,5307
"11",0.08,"E BUCHTEL BLVD","SE","5  Major Collector","1    Asphalt",40,4,2,11,8700,3,0.65,0.73,3379
"12",0.08,"N TEJON ST","N","5  Major Collector","1    Asphalt",44,2.5,2,10,4800,3,0.97,1.05,4065
"13",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,2.5,4,10,27000,1,1.51,1.6,597
"14",0.1,"BLAKE ST","NE","4  Minor Arterial","1    Asphalt",44,4,2,12,1100,0,0,0.1,1301
"15",0.15,"N CROWN BLVD","NE","5  Major Collector","1    Asphalt",44,4,2,10,2600,3,0.345,0.495,6070
"16",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,4,10,46000,3,3.68,3.7,330
"17",0.05,"W YALE AVE","W","4  Minor Arterial","1    Asphalt",36,1,2,10,9100,3,1.2,1.25,1799
"18",0.04,"S LOWELL BLVD","S","5  Major Collector","1    Asphalt",48,1,2,10,2800,3,2.59,2.63,3913
